,open_lifts_sq,month_4,day_5,day_4,days_since_start_xmas_sq,days_since_start_spring_break,days_since_start_midweek_sq,ln_open_percent_midweek,month_1_mon,thanksgiv_midweek,month_2_fri,ln_days_since_start,month_4_sat,ln_open_trails,ln_week_snow_tot_fri,pres_day_sat,ln_week_snow_tot_sat,month_4_fri,month_2_midweek,month_1_midweek,basedepth_midweek_sqrt,thanksgiv_fri,open_percent_fri_sq,mlk_day,month_2_mon,pres_day,new_24_midweek,new_24_sat_sq,pres_day_midweek
2011-11-13,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-14,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.69314718056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-15,0.0,0.0,0.0,0.0,0,0,9,0.0,0.0,0,0.0,1.09861228867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,1.0,0.0,0
2011-11-16,0.0,0.0,0.0,0.0,0,0,16,0.0,0.0,0,0.0,1.38629436112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,1.0,0.0,0
2011-11-17,0.0,0.0,0.0,0.0,0,0,25,0.0,0.0,0,0.0,1.60943791243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,1.0,0.0,0
2011-11-18,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,1.79175946923,0.0,0.0,2.20827441352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-19,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0.0,1.94591014906,0.0,0.0,0.0,0.0,1.79175946923,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0
2011-11-20,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.07944154168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-21,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.19722457734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-22,0.0,0.0,0.0,0.0,0,0,100,0.0,0.0,1,0.0,2.30258509299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,2.0,0.0,0
2011-11-23,0.0,0.0,0.0,0.0,0,0,121,0.0,0.0,1,0.0,2.3978952728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-24,0.0,0.0,0.0,0.0,0,0,144,0.0,0.0,1,0.0,2.48490664979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-25,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,2.56494935746,0.0,0.0,1.94591014906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-26,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0.0,2.63905732962,0.0,0.0,0.0,0.0,2.19722457734,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,9.0,0
2011-11-27,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.7080502011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-28,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,2.77258872224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-29,0.0,0.0,0.0,0.0,0,0,289,0.0,0.0,0,0.0,2.83321334406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-11-30,0.0,0.0,0.0,0.0,0,0,324,0.0,0.0,0,0.0,2.8903717579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-01,0.0,0.0,0.0,0.0,0,0,361,0.0,0.0,0,0.0,2.94443897917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-02,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,2.99573227355,0.0,0.0,1.09861228867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-03,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0,0.0,3.04452243772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-04,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,3.09104245336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-05,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,3.13549421593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-06,36.0,0.0,0.0,0.0,0,0,576,1.94591014906,0.0,0,0.0,3.17805383035,0.0,2.8903717579,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-07,36.0,0.0,0.0,0.0,0,0,625,1.94591014906,0.0,0,0.0,3.21887582487,0.0,2.83321334406,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-08,36.0,0.0,0.0,0.0,0,0,676,1.94591014906,0.0,0,0.0,3.25809653802,0.0,2.83321334406,0.0,0.0,0.0,0.0,0.0,0.0,4.24264068712,0.0,0.0,0,0.0,0,0.0,0.0,0
2011-12-09,36.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0.0,3.295836866,0.0,2.94443897917,1.60943791243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0,0.0,0,0.0,0.0,0
