date,price
2015-11-15,74
2015-11-16,74
2015-11-17,74
2015-11-18,74
2015-11-19,74
2015-11-20,74
2015-11-21,84
2015-11-22,84
2015-11-23,84
2015-11-24,84
2015-11-25,99
2015-11-26,99
2015-11-27,99
2015-11-28,99
2015-11-29,99
2015-11-30,99
2015-12-01,99
2015-12-02,99
2015-12-03,99
2015-12-04,99
2015-12-05,104
2015-12-06,104
2015-12-07,104
2015-12-08,104
2015-12-09,104
2015-12-10,104
2015-12-11,104
2015-12-12,114
2015-12-13,114
2015-12-14,114
2015-12-15,114
2015-12-16,114
2015-12-17,114
2015-12-18,114
2015-12-19,134
2015-12-20,134
2015-12-21,134
2015-12-22,134
2015-12-23,134
2015-12-24,134
2015-12-25,144
2015-12-26,144
2015-12-27,144
2015-12-28,144
2015-12-29,144
2015-12-30,144
2015-12-31,144
2016-01-01,144
2016-01-02,144
2016-01-03,144
2016-01-04,139
2016-01-05,139
2016-01-06,139
2016-01-07,139
2016-01-08,139
2016-01-09,144
2016-01-10,144
2016-01-11,139
2016-01-12,139
2016-01-13,139
2016-01-14,139
2016-01-15,139
2016-01-16,144
2016-01-17,144
2016-01-18,144
2016-01-19,144
2016-01-20,144
2016-01-21,144
2016-01-22,144
2016-01-23,144
2016-01-24,144
2016-01-25,144
2016-01-26,144
2016-01-27,144
2016-01-28,144
2016-01-29,144
2016-01-30,144
2016-01-31,144
2016-02-01,144
2016-02-02,144
2016-02-03,144
2016-02-04,144
2016-02-05,144
2016-02-06,144
2016-02-07,144
2016-02-08,144
2016-02-09,144
2016-02-10,144
2016-02-11,144
2016-02-12,144
2016-02-13,144
2016-02-14,144
2016-02-15,144
2016-02-16,144
2016-02-17,144
2016-02-18,144
2016-02-19,144
2016-02-20,144
2016-02-21,144
2016-02-22,144
2016-02-23,144
2016-02-24,144
2016-02-25,144
2016-02-26,144
2016-02-27,144
2016-02-28,144
2016-02-29,144
2016-03-01,144
2016-03-02,144
2016-03-03,144
2016-03-04,144
2016-03-05,144
2016-03-06,144
2016-03-07,144
2016-03-08,144
2016-03-09,144
2016-03-10,144
2016-03-11,144
2016-03-12,144
2016-03-13,144
2016-03-14,144
2016-03-15,144
2016-03-16,144
2016-03-17,144
2016-03-18,144
2016-03-19,144
2016-03-20,144
2016-03-21,144
2016-03-22,144
2016-03-23,144
2016-03-24,144
2016-03-25,144
2016-03-26,144
2016-03-27,144
2016-03-28,144
2016-03-29,144
2016-03-30,144
2016-03-31,144
2016-04-01,144
2016-04-02,144
2016-04-03,144
2016-04-04,144
2016-04-05,144
2016-04-06,144
2016-04-07,144
2016-04-08,144
2016-04-09,144
2016-04-10,144
2016-04-11,124
2016-04-12,124
2016-04-13,124
2016-04-14,124
2016-04-15,124
2016-04-16,124
2016-04-17,124
2016-04-18,124
2016-04-19,124
2016-04-20,124
2016-04-21,124
2016-04-22,124
2016-04-23,124
2016-04-24,124
